Titolo,Titolo SEO ottimizzato,Sottotitolo,Descrizione breve,Keyword principali,Keyword secondarie,Categoria Amazon,Volume di ricerca stimato,Concorrenza,Fascia d'età target,Formato ideale,Numero pagine stimato,Tempo stimato di produzione,Sforzo creativo richiesto,Lingua di pubblicazione,Stagionalità/Occasione,Piattaforme consigliate,Prezzo consigliato (€),Obiettivo,Fonte volume,Priorità GPT (1-5),Tool consigliati,Destinazione file finale,Stato progetto,Lingue consigliate,Inclusività / Sensibilità,Note editoriali personali,Trend associati,Data pubblicazione,Vendite mese 1,Recensioni ricevute,CTR,Trend settimanale aggiornato,Fonte trend,avg_search_volume,avg_rating,total_reviews,work_count,effort_success
Il diario della calma,Il diario della calma: un viaggio tra le emozioni per bambini,Per imparare a riconoscere e gestire le emozioni,"Un libro che accompagna i bambini alla scoperta delle proprie emozioni, con illustrazioni dolci e testi semplici.","emozioni, mindfulness, calma","educazione emotiva, consapevolezza, meditazione",Education / Emotions,2900,Media,5-7,Storybook illustrato,32,Medio,Alto,Italiano,Tutto l'anno / back to school,"Amazon KDP, Lulu",7.99,Artistico,Stima Amazon,4,"Scrittura, Canva",KDP Print,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
L'avventura del semino,L'avventura del semino: scopri la natura con un libro senza parole,Un racconto silenzioso che parla di crescita,Un silent book che racconta il ciclo della natura e l'importanza della pazienza.,"natura, crescita, ecologia","semi, alberi, educazione ambientale",Juvenile Fiction / Nature,1700,Bassa,3-5,Silent book,24,Basso,Medio,Italiano,Primavera / Giornata della Terra,"Amazon KDP, Etsy",6.5,Artistico,Stima Amazon,3,"Midjourney, Photoshop",KDP Print,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
Il viaggio di Leo,Il viaggio di Leo: storie di esplorazione e amicizia per piccoli curiosi,"Una storia di viaggio, coraggio e amicizia","Un racconto di esplorazione adatto ai piccoli curiosi, tra scoperte e nuovi amici.","curiosità, esplorazione, amicizia","avventura, animali, viaggio",Juvenile Fiction / Adventure,2100,Media,6-8,Storybook avventura,36,Medio,Alto,Italiano,Estate / Tempo libero,Amazon KDP,7.99,Artistico,Stima Amazon,4,"Scrittura, Canva",KDP Print,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
La valigia delle emozioni,La valigia delle emozioni: un activity book per riconoscere i sentimenti,Attività illustrate per aiutare i bambini a parlare di sé,"Un libro interattivo per aiutare i bambini a riconoscere rabbia, gioia e tristezza.","rabbia, tristezza, felicità","gioco emotivo, famiglia, relazioni",Juvenile Nonfiction / Self-Esteem,3100,Alta,5-8,Activity book emotivo,40,Alto,Molto alto,Italiano,Autunno / Giornata delle emozioni,"Etsy, Gumroad",8.5,Artistico,Stima Amazon,5,"Canva, Illustrator",PDF + KDP,Idea,Italiano,Nessuna,,,,,,,,,1.1715976331360947,0.0,0,8,0.0
Il giardino segreto dei colori,Il giardino segreto dei colori: un coloring book che ispira la creatività,Disegni da colorare che stimolano la fantasia,Un viaggio visivo tra i colori e le emozioni che stimola la creatività dei più piccoli.,"arte, colori, percezione visiva","arte per bambini, disegno, immaginazione",Juvenile Fiction / Art,1500,Bassa,4-6,Coloring book artistico,30,Basso,Medio,Italiano,Inverno / Natale / attività indoor,"Etsy, Amazon KDP",5.99,Artistico,Stima Amazon,3,"Illustrator, Canva",PDF + Etsy,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
Colora con gli animali della fattoria,Colora con gli animali della fattoria: attività semplici per i più piccoli,Libro da colorare con animali semplici e divertenti,"Un libro da colorare con animali semplici, ideale per sviluppare la motricità fine.","animali, fattoria, colorare","animali simpatici, prima infanzia, libro semplice",Juvenile Nonfiction / Animals,3600,Alta,3-5,Coloring book semplice,40,Molto basso,Basso,Italiano,Primavera / Tutto l’anno,Amazon KDP,5.99,Profitto,Ricerca Etsy,5,Canva,KDP Print,Idea,Italiano,Nessuna,,,,,,,,,1.0769230769230769,0.0,0,8,0.0
Il mio primo libro di lettere da colorare,Lettere e colori: il mio primo alfabeto illustrato,Scopri le lettere e colora ogni pagina,Un modo divertente per imparare l’alfabeto colorando lettere grandi e disegni semplici.,"alfabeto, lettere, colorare","lettere grandi, tracciamento, scuola materna",Juvenile Nonfiction / Concepts / Alphabet,4500,Alta,3-6,Coloring book alfabeto,36,Basso,Basso,Italiano,Inizio scuola / Tutto l’anno,"Amazon KDP, Etsy",6.2,Profitto,Stima Google,5,Canva,KDP Print,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
Colori della natura – Libro per bambini,Scopri la natura con colori: libro per bambini 3-5 anni,"Colora fiori, foglie, animali e paesaggi naturali",Un coloring book educativo che introduce i bambini alla natura con disegni intuitivi.,"natura, alberi, fiori, bambini","colorare ambienti, libri educativi, colori naturali",Juvenile Nonfiction / Nature,3100,Media,3-5,Coloring book natura,30,Basso,Basso,Italiano,Estate / primavera,"Amazon KDP, Etsy",5.8,Profitto,Ricerca Etsy,4,Canva,PDF + KDP,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
Giochi di forme – Activity book,Gioca con le forme: disegni e attività creative per bambini,Impara e divertiti con le forme geometriche,"Un’attività creativa con forme, colori e giochi visivi adatta ai più piccoli.","forme, creatività, attività","shapes, preschool, kindergarten",Juvenile Nonfiction / Concepts / General,2200,Media,3-5,Activity book geometrico,28,Basso,Basso,Italiano,Tutto l’anno / scuola infanzia,"Amazon KDP, Etsy",5.9,Profitto,Stima Amazon,4,"Canva, Illustrator",PDF,Idea,Italiano,Nessuna,,,,,,,4.27810650887574,Google Trends,0.0,0.0,0,8,
Alfabeto emozionale da colorare,Colora le emozioni: alfabeto illustrato per bambini,Associa colori ed emozioni in modo creativo,"Colora lettere e sentimenti con immagini facili e testi leggeri, perfetto per i 3-6 anni.","emozioni, alfabeto, colori","educazione emozionale, colori base, motricità",Juvenile Nonfiction / Concepts / Emotions,3300,Media,3-6,Coloring + emozioni,32,Basso,Medio,Italiano,Autunno / attività scolastica,"Amazon KDP, Etsy",6.5,Ibrido,Google Trends,5,"Midjourney, Canva",PDF + KDP,Idea,Italiano,Nessuna,,,,,,,,,0.0,0.0,0,8,
